"Entitatea","2005","2004","2003","2002"
"Araba/Álava","523.63","519.00","472.00","419.21"
"Bizkaia","399.15","365.69","318.84","278.92"
"CAE","400.82","374.12","329.31","291.74"
"Gipuzkoa","350.09","325.59","285.28","258.54"
