"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","9.55","10.83","12.31","12.39","12.19","9.86","9.17","8.78","6.58","3.83","3.86","4.32","3.75"
"Bizkaia","9.82","11.03","12.42","12.66","12.81","10.71","9.88","9.36","7.08","4.57","4.63","5.49","4.88"
"CAE","8.92","10.07","11.44","11.64","11.79","9.82","9.24","8.87","6.60","4.21","4.26","4.88","4.26"
"Gipuzkoa","7.19","8.19","9.46","9.65","9.94","8.35","8.23","8.12","5.82","3.80","3.83","4.13","3.46"
