"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","6.91",NA,NA,"0.00","0.00"
"Bizkaia","4.31",NA,NA,"0.00","0.00"
"CAE","4.42",NA,NA,"0.00","0.00"
"Gipuzkoa","3.49",NA,NA,"0.00","0.00"
