"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.58","1.54","1.55","1.54","1.59","1.59","1.62","1.63","1.54","1.43","1.44","1.31","1.32"
"Bizkaia","1.43","1.42","1.43","1.44","1.46","1.46","1.50","1.44","1.37","1.31","1.25","1.20","1.18"
"CAE","1.45","1.43","1.43","1.46","1.48","1.50","1.51","1.48","1.43","1.35","1.32","1.27","1.25"
"Gipuzkoa","1.42","1.40","1.39","1.44","1.48","1.52","1.49","1.47","1.48","1.40","1.37","1.35","1.33"
