"Entitatea","2010","2009","2008","2007","2006","2005"
"Araba/Álava","22.14","20.21","18.83","17.46","17.59","17.42"
"Bizkaia","14.45","14.04","13.34","13.25","13.01","12.74"
"CAE","18.97","18.54","17.40","17.21","17.07","16.81"
"Gipuzkoa","24.91","25.13","23.40","23.57","23.51","23.24"
