"Entitatea","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.67","1.67","1.61","1.57","1.59","1.50","1.50","1.53","1.36"
"Bizkaia","0.96","0.85","0.82","0.77","0.76","0.67","0.58","0.55","0.52"
"CAE","1.12","1.05","1.02","0.95","0.95","0.86","0.81","0.77","0.72"
"Gipuzkoa","1.12","1.09","1.08","0.97","0.99","0.90","0.88","0.81","0.78"
