"Entitatea","2015","2014","2013","2012","2011"
"Araba/Álava","11.92","11.01","10.74","10.29","11.59"
"Bizkaia","11.28","11.09","10.91","10.53","10.87"
"CAE","11.49","11.21","10.97","10.56","11.00"
"Gipuzkoa","11.63","11.51","11.18","10.73","10.92"
