"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","603.58","587.78","589.90","611.10","586.70","575.12","590.05","598.87","584.20","480.08","459.37","404.78","408.19"
"Bizkaia","465.62","468.20","461.94","470.54","480.89","462.22","457.50","464.14","443.78","398.29","397.89","379.38","386.18"
"CAE","524.46","520.01","513.66","517.50","514.86","500.74","494.95","496.86","473.84","423.30","425.92","404.76","397.75"
"Gipuzkoa","583.33","573.21","563.19","551.67","537.95","530.40","514.02","505.54","474.95","439.79","457.66","446.70","412.46"
