"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","154.56","146.11","134.21","133.77","145.19","150.37","148.93","191.54","193.90","185.82","180.37"
"Bizkaia","117.66","108.92","99.15","98.91","109.96","111.45","108.81","136.35","145.14","144.33","139.30"
"CAE","122.54","113.37","103.68","103.60","113.52","115.23","113.88","144.16","150.27","150.00","143.88"
"Gipuzkoa","115.89","105.75","97.25","97.60","105.03","105.61","106.59","136.09","139.46","143.64","135.52"
