"Entitatea","2014","2013","2010","2009","2008","2006"
"Araba/Álava","0.37","0.37","0.35","0.35","0.00","0.30"
"Bizkaia","0.49","0.49","0.50","0.50","0.00","0.46"
"CAE","0.50","0.51","0.51","0.51","0.00","0.59"
"Gipuzkoa","0.59","0.59","0.61","0.60","0.00","0.92"
