"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","4.91","4.63","5.07","4.75","4.77","5.15","4.72","5.14","5.01","5.07","6.08","5.64","6.64"
"Bizkaia","4.35","4.53","4.44","4.41","4.00","4.31","3.92","5.11","3.45","4.45","5.49","5.36","5.50"
"CAE","4.35","4.70","4.26","4.43","4.45","5.02","4.20","5.01","4.20","4.98","5.53","5.69","5.73"
"Gipuzkoa","4.11","5.01","3.61","4.31","5.05","6.11","4.44","4.77","5.06","5.80","5.36","6.27","5.73"
