"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","37.70","38.32","39.83","42.84","44.68","45.66","45.56","42.83","36.63","34.90","32.85","35.56","33.79"
"Bizkaia","42.49","44.25","45.83","45.84","43.40","43.37","46.54","45.84","42.92","42.47","41.85","40.28","39.46"
"CAE","38.36","39.64","40.55","41.42","40.11","40.47","42.63","40.86","37.39","37.00","35.32","34.82","33.69"
"Gipuzkoa","32.05","32.84","32.34","33.57","32.69","33.40","34.93","31.82","28.67","28.93","25.63","25.47","24.09"
