"Entitatea","2015","2014","2013","2011","2010","2006","2001"
"Araba/Álava","91.90","91.90","91.80","91.90","92.10","92.43","90.19"
"Bizkaia","85.50","85.50","85.50","85.50","85.20","84.96","84.49"
"CAE","86.90","86.90","86.90","86.90","86.90","86.81","85.79"
"Gipuzkoa","86.70","86.80","86.80","86.90","87.20","87.20","86.01"
