"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","1399.52","1364.59","1289.30","1517.40","1691.17","1849.25","1615.73","1561.59","1438.28","1255.55","1154.76","1222.28","1160.10"
"Bizkaia","1209.31","1177.02","1228.20","1345.26","1498.87","1644.00","1456.31","1411.56","1263.11","1165.62","1111.52","1052.71","927.73"
"CAE","1272.34","1236.83","1246.05","1410.04","1548.50","1712.14","1498.48","1448.38","1330.31","1211.12","1132.45","1108.21","1001.29"
"Gipuzkoa","1316.27","1275.94","1255.50","1467.04","1565.29","1762.11","1515.42","1458.83","1393.56","1266.76","1157.30","1150.82","1055.15"
