"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","6.38","6.40","6.59","6.82","6.93","7.18","7.52","7.96","8.22","8.21","7.95","7.90","7.83","7.65"
"Bizkaia","7.32","7.47","7.58","7.83","8.14","8.50","8.84","9.28","9.31","9.15","8.67","8.30","8.43","7.97"
"CAE","7.41","7.56","7.68","7.90","8.17","8.49","8.90","9.34","9.53","9.44","8.95","8.58","8.72","8.28"
"Gipuzkoa","8.01","8.24","8.32","8.50","8.77","9.08","9.62","10.06","10.46","10.46","9.86","9.35","9.58","9.05"
