"Entitatea","2005","2004","2003","2002"
"Araba/Álava","110.02","103.91","103.38","97.25"
"Bizkaia","69.16","62.73","56.13","51.12"
"CAE","71.15","65.22","61.03","56.17"
"Gipuzkoa","57.49","52.65","50.94","46.99"
