"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","9.82","9.91","10.16","10.31","10.57","11.00","11.64","11.99","12.02","11.55","12.04","11.69","11.95"
"Bizkaia","11.80","11.91","12.06","12.33","12.66","13.11","13.74","13.86","13.75","13.16","13.39","13.00","13.03"
"CAE","11.75","11.84","12.00","12.27","12.59","13.12","13.74","14.01","14.00","13.37","13.60","13.24","13.28"
"Gipuzkoa","12.55","12.60","12.72","13.07","13.39","14.10","14.69","15.16","15.27","14.52","14.62","14.31","14.28"
