"Entitatea","2009","2008","2007"
"Araba/Álava","24.01","25.32","31.71"
"Bizkaia","21.52","21.12","21.40"
"CAE","23.57","23.13","24.81"
"Gipuzkoa","26.72","25.43","27.38"
