"Entitatea","2015","2011","2006","2001","1996"
"Araba/Álava","21.96","22.78","35.21","35.65","21.41"
"Bizkaia","17.99","19.97","32.07","27.68","15.28"
"CAE","19.58","20.80","32.99","30.61","17.55"
"Gipuzkoa","20.92","21.22","33.49","33.32","19.70"
