"Entitatea","2016","2015","2014","2013","2012"
"Araba/Álava","7.87","7.30","7.78","8.17","7.03"
"Bizkaia","2.11","2.21","2.29","2.52","2.14"
"CAE","3.36","3.40","3.67","4.00","3.38"
"Gipuzkoa","3.41","3.61","4.07","4.49","3.77"
