"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","9.61","9.40","9.37","9.28","9.11","8.89","8.68","8.45","8.22","8.01","7.73","7.48","7.31","7.09"
"Bizkaia","11.29","11.15","11.20","11.07","10.93","10.67","10.43","10.14","9.82","9.48","9.14","8.82","8.50","8.15"
"CAE","10.79","10.64","10.68","10.58","10.44","10.21","9.97","9.70","9.42","9.12","8.82","8.52","8.24","7.93"
"Gipuzkoa","10.53","10.40","10.42","10.36","10.25","10.04","9.80","9.53","9.28","9.03","8.76","8.48","8.21","7.95"
