"Entitatea","2015","2014","2013","2012","2009","2007","2006"
"Araba/Álava","1.33","1.40","1.43","1.38","1.43","1.24","1.26"
"Bizkaia","1.54","1.56","1.54","1.56","1.52","1.41","1.41"
"CAE","1.54","1.53","1.50","1.52","1.48","1.35","1.36"
"Gipuzkoa","1.62","1.55","1.48","1.52","1.44","1.29","1.30"
