"Entitatea","2011","2010","2009","2008"
"Araba/Álava","4.43","4.46","4.47","4.49"
"Bizkaia","9.78","9.82","9.84","9.83"
"CAE","8.11","8.18","8.18","8.19"
"Gipuzkoa","9.63","9.84","9.82","9.82"
