"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","7.09","6.09","6.45","6.40","6.07","5.37","5.73","7.11","9.37","7.09","8.68","5.20","6.39"
"Bizkaia","7.45","7.01","6.10","6.88","6.34","6.69","6.28","8.11","8.73","8.27","9.46","6.78","6.79"
"CAE","7.29","6.72","6.27","6.75","6.14","6.53","6.14","8.09","9.41","8.38","9.57","6.88","7.10"
"Gipuzkoa","7.13","6.54","6.46","6.69","5.85","6.79","6.10","8.49","10.54","8.77","10.14","7.77","7.94"
