"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.71","3.79","0.13","5.53","11.06","11.28","11.23","13.50","13.73","10.77","10.06","9.92","6.19"
"Bizkaia","0.84","0.30","-2.63","4.49","7.47","5.87","6.42","7.63","8.05","7.03","6.68","4.56","3.19"
"CAE","1.54","1.65","-0.89","4.54","6.85","5.97","6.10","7.76","8.23","6.76","6.23","4.26","2.96"
"Gipuzkoa","2.56","2.84","1.46","4.16","3.94","3.75","3.30","5.43","6.10","4.57","3.81","1.31","1.18"
