"Entitatea","2015","2014","2013","2012","2011"
"Araba/Álava","22.66","22.96","22.86","22.50","21.60"
"Bizkaia","26.97","26.98","26.94","26.50","25.63"
"CAE","25.55","25.57","25.52","25.15","24.33"
"Gipuzkoa","24.70","24.59","24.53","24.26","23.57"
