"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","13.93","20.31","30.86","41.83","58.20","66.28","67.90","70.48","72.25","53.08","45.61","44.22","40.94"
"Bizkaia","8.15","8.69","8.67","10.21","14.69","17.21","20.86","25.20","27.48","25.46","29.21","30.99","31.58"
"CAE","9.17","11.03","13.15","16.55","22.42","26.30","29.31","32.53","34.47","29.38","30.68","31.67","31.76"
"Gipuzkoa","8.67","10.66","12.50","15.58","19.13","23.50","26.23","28.01","29.58","25.63","26.69","27.44","28.17"
