"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","6.40","6.69","6.21","5.42","4.10","3.29","2.48","1.62","1.64","1.64","1.66"
"Bizkaia","6.34","6.74","6.40","5.75","4.40","3.34","2.58","1.88","1.86","1.97","2.21"
"CAE","5.79","6.16","5.85","5.22","4.07","3.33","2.57","1.84","1.84","1.90","2.04"
"Gipuzkoa","4.62","4.99","4.78","4.27","3.52","3.34","2.60","1.88","1.90","1.91","1.91"
