"Entitatea","2015","2014","2013","2011","2010","2006","2001","1996"
"Araba/Álava","17.51","17.34","17.00","16.50","15.17","14.51","16.23","13.90"
"Bizkaia","16.67","16.45","16.10","15.82","14.69","13.95","14.08","12.70"
"CAE","17.36","17.15","16.82","16.49","15.29","14.63","15.13","13.34"
"Gipuzkoa","18.41","18.20","17.92","17.59","16.33","15.80","16.42","14.19"
