"Entitatea","2015","2014","2013","2011","2010","2006","2001","1991"
"Araba/Álava","14.44","13.76","13.21","13.15","11.46","10.71","9.32","10.47"
"Bizkaia","30.35","28.32","26.35","24.95","20.53","16.46","13.56","14.01"
"CAE","26.40","24.88","23.43","22.52","19.31","16.05","13.53","14.77"
"Gipuzkoa","25.87","24.75","23.65","23.04","20.97","17.84","15.25","17.95"
