"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","2.68","2.67","2.63","2.63","2.51","2.46","2.47","2.44","2.44","2.45","2.44","2.41","2.37"
"Bizkaia","4.87","4.90","5.00","5.09","4.61","4.58","4.51","4.50","4.49","4.36","4.33","4.33","3.95"
"CAE","3.69","3.70","3.71","3.72","3.44","3.42","3.37","3.33","3.31","3.24","3.22","3.21","3.01"
"Gipuzkoa","3.89","3.93","3.89","3.85","3.53","3.57","3.43","3.35","3.32","3.17","3.14","3.12","2.92"
