"Entitatea","2014","2013","2011","2009","2006"
"Araba/Álava","-0.70","-1.09","1.43","7.58","8.33"
"Bizkaia","1.03","0.86","0.51","5.44","11.89"
"CAE","0.40","0.05","1.02","6.30","10.68"
"Gipuzkoa","-0.11","-0.72","1.64","7.12","9.77"
