"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","2.601.06","2.604.89","2.618.77","2.622.71","2.613.39","2.640.02","2.655.57","2.685.46","2.721.44","2.758.65","2.807.11"
"Bizkaia","384.11","383.71","382.54","380.93","380.27","381.06","381.69","381.98","384.06","385.72","311.61"
"CAE","699.24","699.32","699.28","698.30","697.80","700.36","702.30","704.26","709.13","714.18","679.47"
"Gipuzkoa","344.29","344.76","345.39","345.95","346.65","347.84","348.85","349.63","351.94","355.03","357.04"
