"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","1248.59","1284.07","1281.51","1380.18","1303.64","1319.77","1435.85","1343.32","1270.56","1170.29","1041.02","977.01","918.96"
"Bizkaia","1201.43","1132.55","1150.14","1207.29","1170.07","1225.31","1358.09","1315.44","1172.85","986.48","943.20","870.13","871.34"
"CAE","1227.89","1178.94","1185.31","1217.59","1211.29","1214.90","1322.65","1291.93","1177.22","1031.59","980.75","920.95","884.85"
"Gipuzkoa","1261.07","1206.55","1198.95","1160.95","1236.99","1151.04","1214.56","1230.77","1143.53","1045.47","1016.59","980.83","892.62"
