"Entitatea","2015","2014","2013","2012","2011","2010","2009"
"Araba/Álava","44.87","43.94","43.44","43.56","43.76","43.05","42.82"
"Bizkaia","41.65","40.74","39.86","40.07","39.72","38.62","38.21"
"CAE","43.06","42.09","41.30","41.41","41.37","40.31","40.01"
"Gipuzkoa","44.58","43.48","42.74","42.69","43.06","41.93","41.79"
