"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","0.41",NA,NA,NA,NA
"Bizkaia","0.67",NA,NA,NA,NA
"CAE","0.66",NA,NA,NA,NA
"Gipuzkoa","0.91",NA,NA,NA,NA
