"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","0.46","0.46","0.46","0.47","0.47","0.47","0.47","0.00","0.00","0.00","0.00","0.00"
"Bizkaia","0.43","0.43","0.46","0.43","0.43","0.43","0.43","0.00","0.00","0.00","0.00","0.00"
"CAE","0.43","0.43","0.44","0.44","0.44","0.43","0.44","0.00","0.00","0.00","0.00","0.00"
"Gipuzkoa","0.43","0.43","0.39","0.43","0.43","0.43","0.43","0.00","0.00","0.00","0.00","0.00"
