"Entitatea","2015","2014","2013","2012"
"Araba/Álava","2.02","2.09","2.10","2.10"
"Bizkaia","0.77","0.78","0.79","0.78"
"CAE","1.00","1.02","1.03","1.02"
"Gipuzkoa","0.90","0.91","0.91","0.90"
