"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","10.61","11.69","12.82","12.57","12.47","10.33","9.43","8.84","6.92","4.92","4.95","5.22","4.53","4.43"
"Bizkaia","10.52","11.51","12.60","12.45","12.56","10.75","9.94","9.14","7.16","5.30","5.43","6.15","5.35","5.63"
"CAE","9.77","10.77","11.83","11.72","11.84","10.09","9.40","8.80","6.87","5.11","5.22","5.71","4.90","5.13"
"Gipuzkoa","8.17","9.13","10.13","10.14","10.38","8.90","8.49","8.23","6.38","4.89","5.00","5.20","4.31","4.60"
