"Entitatea","2008","2007","2006","2005","2004","2003"
"Araba/Álava","7.68","7.38","6.99","5.67","4.45","2.88"
"Bizkaia","6.10","5.73","5.26","4.61","3.76","2.77"
"CAE","5.93","5.58","5.19","4.53","3.69","2.72"
"Gipuzkoa","5.05","4.71","4.44","3.99","3.33","2.57"
