"Entitatea","2006","2005","2004","2003"
"Araba/Álava","4.41","4.47","4.49","5.12"
"Bizkaia","6.40","6.69","6.86","6.99"
"CAE","5.70","5.91","6.07","6.32"
"Gipuzkoa","5.12","5.24","5.46","5.74"
