"Entitatea","2015","2011","2010","2006","2001","1996"
"Araba/Álava","2.63","1.86","1.58","1.48","2.77","3.70"
"Bizkaia","1.30","0.86","0.77","0.94","1.51","1.93"
"CAE","1.54","1.03","0.91","1.05","1.78","2.37"
"Gipuzkoa","1.40","0.89","0.81","1.03","1.74","2.44"
