"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","47.80","47.04","46.62","45.86","44.88","44.92","44.64","44.96","44.96","45.86","45.88","45.08","45.10","44.63"
"Bizkaia","50.18","50.36","50.30","49.92","49.47","49.57","49.69","49.66","50.37","51.28","50.85","50.37","50.20","50.39"
"CAE","49.54","49.35","49.32","48.97","48.55","48.58","48.41","48.15","48.56","49.44","49.15","48.72","48.65","48.58"
"Gipuzkoa","49.59","49.22","49.43","49.37","49.44","49.34","48.84","47.75","47.90","48.65","48.43","48.50","48.56","48.44"
