"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","9.75","10.15","9.63","10.26","10.69","10.51","10.22","10.29","9.84","9.61","9.28","9.43","9.13","8.50"
"Bizkaia","8.13","8.47","8.43","8.94","9.24","9.18","9.14","9.45","9.11","8.84","8.89","8.81","8.65","8.27"
"CAE","8.61","8.85","8.73","9.38","9.68","9.70","9.62","9.85","9.58","9.38","9.26","9.24","9.12","8.59"
"Gipuzkoa","8.87","8.88","8.80","9.70","9.94","10.18","10.14","10.30","10.25","10.15","9.85","9.87","9.87","9.17"
