"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","-0.45","-1.22","-0.99","-2.45","-1.13","-4.58","-0.67","2.09","6.87","1.16","3.72","0.52","1.06"
"Bizkaia","0.03","-0.55","-2.86","-3.11","-2.00","-4.73","-0.23","2.58","5.27","2.68","2.83","1.77","0.43"
"CAE","-0.23","-1.07","-2.27","-3.34","-2.54","-4.97","-0.91","2.14","6.05","2.23","2.87","1.62","0.72"
"Gipuzkoa","-0.53","-1.84","-1.91","-4.11","-4.06","-5.53","-2.13","1.45","6.96","1.61","2.57","1.83","1.05"
