"Entitatea","2015","2014","2013","2012","2011","2010","2009"
"Araba/Álava","47.60","46.71","46.37","47.18","48.59","48.79","49.05"
"Bizkaia","44.76","43.87","43.16","43.79","44.90","44.87","44.91"
"CAE","46.19","45.23","44.64","45.21","46.50","46.45","46.62"
"Gipuzkoa","47.87","46.77","46.29","46.67","48.18","48.00","48.37"
