"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","109.05","108.89","108.31","108.32","108.70","107.73","107.31","106.11","104.70","103.29","102.09","101.43","100.06"
"Bizkaia","518.13","518.67","520.08","522.17","523.09","521.04","521.02","520.54","517.72","515.48","514.76","513.09","511.60"
"CAE","308.62","308.58","308.54","309.12","309.32","308.09","307.31","306.44","304.31","302.16","301.01","299.76","298.41"
"Gipuzkoa","376.32","375.80","374.91","374.11","373.22","371.66","369.00","368.18","365.76","362.57","360.98","359.32","358.17"
