"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","8.97","8.58","8.10","8.10","4.76"
"Bizkaia","6.02","5.84","8.49","4.10","4.76"
"CAE","7.09","6.83","6.83","5.70","5.19"
"Gipuzkoa","7.85","7.55","5.35","7.06","6.02"
