"Entitatea","2015","2014","2013","2011","2010","2006","2001","1996"
"Araba/Álava","63.33","62.81","62.26","61.40","60.02","49.35","40.44","38.66"
"Bizkaia","63.43","62.85","62.24","61.41","60.27","49.87","40.43","39.26"
"CAE","63.47","62.90","62.29","61.47","60.23","49.81","40.62","39.34"
"Gipuzkoa","63.58","63.01","62.39","61.61","60.26","49.91","41.00","39.74"
