"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","29.80","30.64","27.99","24.93","23.37","22.31","20.27","13.17","10.12","9.42","9.01","9.75","9.86"
"Bizkaia","34.85","35.21","34.50","32.48","31.77","32.68","28.26","21.26","19.04","17.90","16.36","14.75","13.47"
"CAE","29.56","30.00","28.70","26.45","25.42","25.17","22.20","15.72","13.72","12.85","11.94","11.18","10.46"
"Gipuzkoa","21.00","21.36","19.67","17.37","16.03","14.24","13.18","7.78","6.61","6.09","5.94","5.92","5.76"
