"Entitatea","2014","2013","2011","2009","2006","2003","2001"
"Araba/Álava","61.70","61.48","62.93","63.93","63.38","66.99","66.82"
"Bizkaia","61.68","61.88","62.72","61.93","58.42","62.22","62.18"
"CAE","60.74","61.04","61.64","61.24","59.53","62.69","62.72"
"Gipuzkoa","58.86","59.50","59.41","58.98","59.71","61.49","61.82"
