"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","21.86","23.91","30.65","28.83","37.84","37.64","45.04","53.72","57.85","59.71","61.10"
"Bizkaia","37.30","36.46","42.27","40.46","40.41","39.74","41.85","38.49","37.68","36.95","34.77"
"CAE","33.83","33.50","40.26","38.27","40.48","40.56","43.84","43.45","43.89","43.42","40.78"
"Gipuzkoa","33.67","33.08","41.36","38.98","41.80","43.21","46.56","47.03","47.89","46.88","41.82"
