"Entitatea","2012","2010","2008","2005","2000","1996"
"Araba/Álava","33779.00","33557.00","36223.00","32236.00","24558.00","17592.00"
"Bizkaia","29432.00","30124.00","29971.00","25738.00","20667.00","15195.00"
"CAE","30628.00","31128.00","31514.00","27153.00","20030.00","14573.00"
"Gipuzkoa","31146.00","31676.00","31951.00","27250.00","18504.00","13456.00"
