"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","5.00",NA,NA,"0.00","0.00"
"Bizkaia","3.89",NA,NA,"0.00","0.00"
"CAE","3.96",NA,NA,"0.00","0.00"
"Gipuzkoa","3.61",NA,NA,"0.00","0.00"
