"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","43.07","57.80","60.94","112.76","120.82","225.59","258.17","276.70","17.65","74.65","104.91","193.69","166.76"
"Bizkaia","127.25","73.12","122.08","163.29","191.68","225.39","213.68","197.14","163.74","135.34","184.26","158.59","157.77"
"CAE","110.11","74.98","105.23","159.56","158.31","242.21","223.82","209.83","164.56","135.64","170.41","183.05","173.92"
"Gipuzkoa","112.81","85.71","97.89","174.62","120.76","277.11","225.16","201.17","230.27","162.70","175.95","218.90","203.77"
