"Entitatea","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","99.50","99.07","99.47","99.83","99.20","99.05","97.15","96.24","97.04"
"Bizkaia","99.67","99.14","98.73","99.89","98.44","96.98","94.34","91.55","94.70"
"CAE","99.45","99.06","98.50","99.62","98.17","97.25","93.73","92.19","94.21"
"Gipuzkoa","99.18","98.97","97.30","99.15","96.88","95.71","89.70","88.80","90.90"
