"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","123.73","84.25","66.01","62.12","53.06","44.02","35.83","27.25","0.00","19.75","14.15","11.31"
"Bizkaia","113.96","66.12","13.03","12.26","11.00","10.36","8.71","7.68","0.00","4.66","3.96","2.60"
"CAE","116.14","69.75","20.35","19.16","16.72","14.84","12.32","10.38","0.00","6.48","4.89","3.62"
"Gipuzkoa","116.11","68.86","10.64","10.18","9.00","8.46","7.28","7.06","0.00","3.70","2.39","2.05"
