"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","7.78","7.87","7.88","7.10","0.00"
"Bizkaia","11.48","11.42","11.61","11.67","0.00"
"CAE","10.30","10.28","10.43","10.48","0.00"
"Gipuzkoa","9.52","9.48","9.63","10.00","0.00"
