"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","52.20","52.96","53.38","54.14","55.12","55.08","55.36","55.04","55.04","54.14","54.12","54.92","54.90","55.37"
"Bizkaia","49.82","49.64","49.70","50.08","50.53","50.43","50.31","50.34","49.63","48.72","49.15","49.63","49.80","49.61"
"CAE","50.46","50.65","50.68","51.03","51.45","51.42","51.59","51.85","51.44","50.56","50.85","51.28","51.35","51.42"
"Gipuzkoa","50.41","50.78","50.57","50.63","50.56","50.66","51.16","52.25","52.10","51.35","51.57","51.50","51.44","51.56"
