"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","2.10",NA,NA,"0.00","0.00"
"Bizkaia","2.79",NA,NA,"0.00","0.00"
"CAE","2.28",NA,NA,"0.00","0.00"
"Gipuzkoa","1.53",NA,NA,"0.00","0.00"
