"Entitatea","2014","2013","2011","2009","2006","2003","2001"
"Araba/Álava","61.72","61.86","63.65","64.98","67.93","71.84","72.18"
"Bizkaia","61.21","61.28","63.85","64.12","64.49","67.66","67.61"
"CAE","61.17","61.42","63.32","63.41","65.46","68.26","68.70"
"Gipuzkoa","60.84","61.44","62.34","61.61","65.98","67.60","68.96"
