"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","5.28","5.47","5.78","5.76","5.66","6.60","7.13","8.76","8.91","9.38","7.33"
"Bizkaia","7.08","7.05","6.64","6.39","6.01","6.66","7.36","8.38","8.70","9.12","6.97"
"CAE","6.92","6.91","6.57","6.43","6.03","6.86","7.41","8.65","8.84","9.39","7.03"
"Gipuzkoa","7.70","7.57","6.91","6.91","6.30","7.37","7.66","9.08","9.09","9.90","6.98"
