"Entitatea","2015","2011","2010","2006","2001"
"Araba/Álava","54.87","54.74","55.22","57.88","59.16"
"Bizkaia","53.32","52.94","53.07","55.22","55.49"
"CAE","53.46","53.14","53.52","55.85","56.74"
"Gipuzkoa","53.03","52.70","53.46","55.97","57.77"
