"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","3.40","3.13","3.00","2.91","2.90","3.23","2.78","2.73","2.76","2.75","2.75"
"Bizkaia","3.52","3.37","3.37","3.45","3.44","3.70","3.26","3.25","3.18","3.09","3.06"
"CAE","3.42","3.26","3.22","3.24","3.24","3.53","3.10","3.06","3.03","2.98","2.98"
"Gipuzkoa","3.28","3.16","3.10","3.07","3.10","3.41","3.01","2.94","2.93","2.93","2.98"
